date,open,high,low,close,volume
15-11-2016,114.7379,114.803,112.3489,113.3435,2027877
16-11-2016,112.9252,114.4869,112.5162,113.7433,1091425
17-11-2016,113.8269,115.3793,113.7735,115.2399,1142394
18-11-2016,114.961,115.0819,113.0647,113.2227,1525226
21-11-2016,113.39,114.3382,112.7021,113.1576,1488685
22-11-2016,113.1576,114.6635,112.2002,112.3024,2106607
23-11-2016,111.9208,112.9464,111.3987,112.0793,2612386
25-11-2016,112.2844,112.6481,111.1003,111.8089,1398054
28-11-2016,111.2122,111.5385,110.3358,110.3917,2331682
29-11-2016,110.1493,111.8649,110.14,111.5199,1696344
30-11-2016,111.9861,112.7506,110.5409,110.9418,1956290
01-12-2016,111.3241,111.5758,107.7159,108.3965,3641199
02-12-2016,108.4431,109.0864,107.0352,107.865,2262329
05-12-2016,108.4245,108.816,106.4292,106.5504,2535189
06-12-2016,106.9606,107.0725,105.0493,105.8884,2859771
07-12-2016,106.1775,106.8301,104.9654,106.6063,2070817
08-12-2016,106.6903,107.6319,106.2893,106.4945,1653664
09-12-2016,106.4851,107.6692,105.8744,107.2217,1794004
12-12-2016,107.2217,107.2217,105.4316,105.8232,1229297
13-12-2016,106.2427,109.5246,105.7393,108.7974,2242548
14-12-2016,108.4524,109.1703,106.8488,107.1564,1395653
15-12-2016,106.8488,108.1634,106.3266,106.5691,1498583
16-12-2016,106.3453,106.7835,105.329,105.4502,2334548
19-12-2016,105.3197,105.9257,104.6764,104.984,958755
20-12-2016,105.2265,105.2265,104.2102,104.723,1577044
21-12-2016,104.8535,105.1332,104.1263,104.1449,836815
22-12-2016,104.061,104.0796,102.1217,102.2802,1341760
23-12-2016,102.159,102.5692,101.5996,101.6462,797912
27-12-2016,102.1963,102.765,101.7767,102.0284,447928
28-12-2016,102.1497,102.4014,101.2639,101.3292,582390
29-12-2016,101.5809,102.0247,101.2546,101.2639,723592
30-12-2016,101.0774,101.4271,99.9586,100.2663,989174
03-01-2017,101.0774,101.6322,100.574,101.0588,1569341
04-01-2017,101.3478,104.6111,101.152,104.1822,1470255
05-01-2017,103.716,105.9817,103.5156,104.9747,1816692
06-01-2017,105.04,108.1168,105.04,106.8488,2203850
09-01-2017,106.5691,106.6716,105.1798,105.618,1491704
